# Данные о рынке компьютеров на 12.01.03
# экспортированы из "Компьютер Бизнес Маркет" издательства "Atlant"
# http://www.adlen.ru/bmv/
#
# Модель	RAM,Mb	HDD,Gb	Video,Монитор	СD-ROM	Sound	Примечания	Цена,$	Фирма	Телефон	Ст.Метро
Celeron 266	32 DIMM	4.3	Video 4Mb		Sound	любое измен. конфиг., скидки учащимся	$118	КИМОР	321-68-88	Пионер.
Celeron 333	64 DIMM	6.4	Video 4Mb		Sound	любое измен. конфиг., скидки учащимся	$128	КИМОР	321-68-88	Пионер.
Celeron 333	64	10.0	8Mb SVGA		SB	люб. изм. конф., гар. 1г.	$134	ФРАКТАЛ	325-09-82	Лиг.пр.
Celeron 333	64	10.4 ATA/100	8Mb 3D			гар. до 3л., подарок - TopPlan, люб. конф., ремонт, нал./б/нал.	$135	НеваЛайн	164-53-77	Пл.Восст.
Celeron 300	128	3.2	8Mb	52x	SB	ATX, k., m., гар. 1г.	$136	Элика	246-96-38	Ч.речка
Celeron 433 FCGA 128K cache 66MHz, MB VIA Apollo Pro, ATX	64 PC133	10.2 ATA/100	8Mb		Sound	люб. изм. конфигур.	$143	РиМ	325-06-22	Н.черкас.
Celeron 500 FCGA 128K cache 66MHz, MB VIA Apollo Pro, ATX	64 PC133	10.2 ATA/100	8Mb		Sound	гар. 3г., люб. изм. конф., дост. б/п, TopPlan в подарок!, 4% скидка учащимся	$145	РиМ	327-20-20	Озерки
Celeron 500 FCPGA 128K cache 66MHz, MB VIA Apollo Pro, ATX	64 PC100	30.0 ATA/100	8Mb		Sound	гар. 3г., люб. изм. конф., дост. б/п!, 4% скидка учащимся	$150	РиМ	327-15-02	Академ.
Celeron 433	64	10.4 ATA/100	8Mb 3D	48x	SB 3D	гар. до 3л., подарок - TopPlan, люб. конф., ремонт, нал./б/нал.	$155	НеваЛайн	164-53-77	Пл.Восст.
Celeron 533 FCGA 128K cache 66MHz, MB VIA Apollo Pro, ATX	128 PC133	30.0 ATA/100	8Mb		Sound	гар. 3г., люб. изм. конф., дост. б/п, TopPlan в подарок!, 4% скидка учащимся	$157	РиМ	153-83-65	Лен.пр.
Celeron 733 FCGA 128K cache, 66MHz, MB VIA Apollo Pro, ATX	128 PC100	30.0 ATA/100	8Mb		Sound	гар. 3г., люб. изм. конф., дост. б/п!, 4% скидка учащимся	$163	РиМ	325-35-35	Владим.
Celeron 500 FCPGA 128K cache 66MHz, MB VIA Apollo Pro, ATX	64 PC100	10.2 ATA/100	8Mb	52x	Sound	гар. 3г., люб. изм. конф., дост. б/п!, 4% скидка учащимся	$165	РиМ	325-77-74	Ладожск.
Celeron 733 FCGA 128K cache, 66MHz, MB VIA Apollo Pro, ATX	64 PC100	10.2 ATA/100	8Mb	52x	Sound	гар. 3г., люб. изм. конф., дост. б/п!, 4% скидка учащимся	$171	РиМ	325-77-74	Ладожск.
Celeron 950A FCGA 128K cache 100MHz, MB VIA Apollo Pro, ATX	64 PC133	30.0 ATA/100	8Mb		Sound	гар. 3г., люб. изм. конф., дост. б/п, TopPlan в подарок!, 4% скидка учащимся	$171	РиМ	327-20-20	Озерки
Celeron 500 FCGA 128K cache 66MHz, MB VIA Apollo Pro, ATX	128 PC133	30.0 ATA/100	8Mb	52x	Sound	гар. 3г., люб. изм. конф., дост. б/п, TopPlan в подарок!, 4% скидка учащимся	$176	РиМ	325-35-35	Владим.
Celeron 950A FCPGA 128K cache, 100MHz, MB VIA Apollo Pro, ATX	128 PC133	30.0 ATA/100	8Mb		Sound	гар. 3г., люб. изм. конф., дост. б/п!, 4% скидка учащимся	$177	РиМ	153-83-65	Лен.пр.
Celeron 466, ATX	128	20.0	8Mb		SB 16	Выбор конфигур., б/вых., гар. 3г.	$179	1001РС	560-92-43	Ломонос.
Celeron 1000A Tualatin FCGA 128K cache 100MHz, MB VIA Apollo Pro, ATX	128 PC133	10.2 ATA/100	16Mb		Sound	гар. 3г., люб. изм. конф., дост. б/п, TopPlan в подарок!, 4% скидка учащимся	$179	РиМ	325-77-74	Ладожск.
Celeron 1100 Tualatin FCGA 128K cache 100MHz, MB VIA Apollo Pro, ATX	128 PC133	10.2 ATA/100	16Mb		Sound	гар. 3г., люб. изм. конф., дост. б/п!, 4% скидка учащимся	$180	РиМ	325-77-74	Ладожск.
